enum,label,comment
ArrowAccent,⁜→,
At,@,
Backslash,\\,
Bar,|,
BarAccent,⁜ā,
BigProduct,⁜∏,
BigSum,⁜∑,
Binomial,⁜b,
Cap,∩,
Cos,cosine,
Cup,∪,
Caret,^,
Cases,⁜c,
Comma,",",
Colon,:,
Conjunction,∧,
Dagger,†,
DefEquals,≔,
Disjunction,∨,
Divide,÷,
Dollar,$,
DotAccent,⁜ȧ,
DotAccentDouble,⁜ä,
DotAccentTriple,⁜⋯,
DotProduct,⋅,
DoubleBar,‖,
DoubleDagger,‡,
DoubleExclam,‼️,
Dualscript,⁜Δ,
EmptySet,∅,
Equals,=,
Exclam,!,
Exists,∃,
ForAll,∀,
Forwardslash,/,
Fraction,⁜f,
Greater,>,
GreaterEqual,≥,
Hash,#,
Hat,⁜â,
Identifier,ID,
In,∈,
Infinity,∞,
Integer,ℤ,
Integral,⁜∫,
LeftAngle,⟨,
LeftArrow,←,
LeftBrace,[,
LeftBracket,{,
LeftCeil,⌈,
LeftDoubleAngle,⟪,
LeftFloor,⌊,
LeftParen,(,
Less,<,
LessEqual,≤,
MapsTo,↦,
Matrix,⁜⊞,
Minus,-,
Multiply,*,
Natural,ℕ,
Newline,\\n,
Not,¬,
NotEqual,≠,
Number,num,
Partial,∂,
Percent,%,
Period,.,
PlanckConst,ℎ,
Plus,+,
Prime,ℙ,
Quaternion,ℍ,
Rational,ℚ,
Real,ℝ,
RightAngle,⟩,
RightArrow,→,
RightBrace,],
RightBracket,},
RightCeil,⌉,
RightDoubleAngle,⟫,
RightFloor,⌋,
RightParen,),
Root,⁜√,
Semicolon,;,
Sin,sine,
SpecialClose,⏵,
SpecialEscape,⁜,
SpecialOpen,⏴,
Subscript,⁜_,
Superscript,⁜^,
Tick,',
Tilde,~,
TildeAccent,⁜ã,
Times,×,
Transpose,⊤,
UnderscriptedWord,⁜w,
